Feature,Working?,On Critical Path?,Notes
Account/2FA,Yes,No,Fully implemented with TOTP
Account/Balance,Yes,Yes,
Account/Blacklist,Yes,No,
Account/Blocks-Mined-Received-Spent,Yes,Yes,
Account/Create-New-Account,Yes,Yes,
Account/Load-from-Keystore,Yes,Yes,
Account/Save-to-Local-Keystore,Yes,Yes,
Account/Send-Chiral-Coins,Yes,Yes,
Account/Transaction-History,Yes,Yes,
Analytics/Bandwidth-Usage,Yes,No,
Analytics/Earnings-History,Yes,No,Real mining block data
Analytics/Latency,Yes,No,
Analytics/Network-Activity,Yes,No,
Analytics/Overview,Yes,No,
Analytics/Popular-Files,Yes,No,
Analytics/Reputation-Rate-Limiting,Yes,No,
Analytics/Suspicious-Activity,Yes,No,Real monitoring of system events
Analytics/Top-Earning-Files,Yes,No,
Blockchain/Balance-Checker,Yes,Yes,
Blockchain/Latest-Blocks,Yes,Yes,
Blockchain/Overview,Yes,Yes,
Blockchain/Search,Kinda,Yes,
Download/Download/Bitswap,Kinda,Yes,Download works but transactions only kind of work
Download/Download/BitTorrent,Yes,Yes,
Download/Download/ED2K,Yes,Yes,
Download/Download/FTP,Yes,Yes,
Download/Download/WebRTC,Kinda,Yes,Download works but transactions only kind of work
Download/Protocol-Tests,Yes,No,
Download/Search/.torrent,Yes,Yes,
Download/Search/ED2K,Yes,Yes,
Download/Search/FTP,Yes,Yes,
Download/Search/Magnet,Yes,Yes,
Download/Search/Merkle,Yes,Yes,
Download/Select-Peers,Yes,Yes,
Mining/Hash-Rate-History,Yes,No,
Mining/Hash-Rate-Rewards,Yes,Yes,
Mining/Mining,Yes,Yes,
Mining/Mining-Pools,Yes,No,Functional with 5 default test pools
Mining/Power-Temperature,Yes,No,
Mining/Profitability-Calculator,Yes,No,
Mining/Statistics,Yes,Yes,
Network/Bootstrap-Node-Health,Yes,Yes,
Network/Connected-Peers,Yes,Yes,
Network/DCUtR-Hole-Punching,Yes,Yes,
Network/DHT-Network,Yes,Yes,
Network/Geographic-Distribution,Yes,No,
Network/Node-Lifecycle,Yes,Yes,
Network/Peer-Discovery,Yes,Yes,
Network/Quick-Actions,No,No,Feature doesn't exist
Network/Relay-Health-and-Monitoring,Yes,Yes,Same component as Relay page
Network/Relay-Pool,Yes,Yes,Same component as Relay page
Network/Smart-Peer-Selection,Yes,Yes,
Network/Status,Yes,Yes,
Relay/AutoRelay-Client,Yes,Yes,
Relay/Health-and-Monitoring,Yes,Yes,
Relay/Relay-Pool,Yes,Unknown,
Relay/Relay-Server,Yes,Yes,
Reputation/Distribution,Yes,No,
Reputation/Overview,Yes,No,
Reputation/Search-Peers,Yes,No,
Reputation/Top-Performers,Yes,No,
Reputation/Top-Relay-Servers,Yes,No,
Settings/Advanced/Auto-Install-Updates,Yes,No,
Settings/Advanced/Cache-Size,Yes,No,
Settings/Advanced/Chunk-Size,Yes,No,
Settings/Backup-Restore,Yes,No,
Settings/Bandwidth-Scheduling,Yes,No,
Settings/Diagnostics,Yes,No,
Settings/Language,Yes,No,
Settings/Logs,Yes,No,
Settings/Network/Auto-Start-Geth-DHT,Yes,No,
Settings/Network/Custom-Bootstrap-Nodes,Yes,No,
Settings/Network/Limits-and-Warnings,Yes,No,
Settings/Network/NAT-Port-Mapping,Yes,Yes,
Settings/Network/UPnP,Yes,Yes,
Settings/Network/User-Location,Yes,No,
Settings/Notifications,Yes,No,
Settings/Privacy-and-Security/Hide-IP,Yes,No,
Settings/Privacy-and-Security/NAT-Traversal-Reachability,Yes,Yes,
Settings/Privacy-and-Security/Proxy-Routing,Yes,Kinda,
Settings/Storage/Auto-Cleanup,Yes,No,
Settings/Storage/Location,Yes,Yes,
Upload/Add,Yes,Yes,
Upload/Encrypted-Sharing,Yes,No,
